Date,Month+Year,Season,ID,Concen,Num.Obs,Alarm,WE
3/22/2019,19-Mar,aWet Season,ZELLY,8.580152672,3,0,0
4/18/2019,19-Apr,Dry Season,ZELLY,24.14414414,3,2,0
4/19/2019,19-Apr,Dry Season,FRANK,17.76520509,4,3,0
4/19/2019,19-Apr,Dry Season,MANGLE,16.89703808,4,3,0
4/19/2019,19-Apr,Dry Season,POLO,10.46296296,4,3,0
4/26/2019,19-Apr,Dry Season,LB,40.04210526,1,3,0
4/26/2019,19-Apr,Dry Season,BW,63.31707317,1,3,0
4/27/2019,19-Apr,Dry Season,BO,13.52769679,4,2,0
6/16/2018,18-Jun,Dry Season,CHOPPA,13.45185185,1,0,0
7/21/2018,18-Jul,Dry Season,LRL,28.40148699,1,5,0
7/21/2018,18-Jul,Dry Season,LB,38.9059081,1,5,0
7/27/2018,18-Jul,Dry Season,LB,15.5971223,1,1,0
9/13/2018,18-Sep,Dry Season,BW,15.70605187,3,3,1
9/13/2018,18-Sep,Dry Season,CHOPPA,13.1097561,3,3,1
9/15/2018,18-Sep,Dry Season,POLO,14.078478,2,3,1
9/15/2018,18-Sep,Dry Season,ZELLY,31.71270718,2,3,1
9/15/2018,18-Sep,Dry Season,FRANK,10.6002265,2,3,1
9/20/2018,18-Sep,Dry Season,LB,32,4,4,0
9/20/2018,18-Sep,Dry Season,BW,29.87447699,4,4,0
9/21/2018,18-Sep,Dry Season,LRL,13.24263039,2,5,0
9/28/2018,18-Sep,Dry Season,LB,31.41804788,2,3,0
10/13/2018,18-Oct,Dry Season,LGREEN,37.67313019,2,7,0
10/19/2018,18-Oct,Dry Season,CHOPPA,52.77037037,1,9,1
10/19/2018,18-Oct,Dry Season,LGREEN,58.062954,1,9,1
11/30/2018,18-Nov,aWet Season,GP,13.09833024,4,6,1
11/30/2018,18-Nov,aWet Season,LRL,17.81591264,4,6,1
11/30/2018,18-Nov,aWet Season,BW,14.90853659,4,6,1
11/30/2018,18-Nov,aWet Season,LGREEN,22.34375,4,6,1
11/30/2018,18-Nov,aWet Season,ZELLY,15.02824859,4,6,1
12/13/2018,18-Dec,aWet Season,LRL,15.83187391,3,2,0
12/13/2018,18-Dec,aWet Season,FRANK,17.48366013,3,2,0
12/13/2018,18-Dec,aWet Season,GP,12.98192771,3,2,0
12/14/2018,18-Dec,aWet Season,FLICK,45.96059113,1,4,0
12/29/2018,18-Dec,aWet Season,LRL,19.48126801,3,2,0
